DRE;CODESC;TIPOESC;NOMES;NOMESCOFI;CEU;DIRETORIA;SUBPREF;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CD_CIE;EH;FX_ETARIA;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_CONV;DT_AUTORIZA;DT_EXTINCAO;NOME_ANT;REDE;LATITUDE;LONGITUDE;DATABASE
BT;307207;ESC.PART.;A HEBRAICA;A HEBRAICA;;BUTANTA;PINHEIROS;HUNGRIA;1000;JARDIM EUROPA;1455000;;;;Ativa;62;PINHEIROS;6204;35814131;814131;;;06/02/2010;3;01/02/2010;;06/02/2010;;;PAR;-23578930;-46694078;31/12/2010
BT;307412;ESC.PART.;ABCD SOFIA;ABCD SOFIA;;BUTANTA;BUTANTA;OTÁVIO PEDREIRO ROSA;212;JARDIM ESTER;5372000;;;;Ativa;67;RIO PEQUENO;6703;35446245;446245;;;12/11/2010;62;10/11/2010;;12/11/2010;;;PAR;-23583388;-46760545;31/12/2010
BT;307131;ESC.PART.;ACONCHEGO, ESCOLA;ACONCHEGO, ESCOLA;;BUTANTA;BUTANTA;QUITANDUBA;50;CAXINGUI;5516030;;;;Ativa;12;BUTANTA;1203;35434700;434700;;ZERO A 6 A;26/08/2009;85;21/08/2009;;;;;PAR;-23583061;-46715523;31/12/2010
BT;306549;ESC.PART.;ADOLPHE FERRIERE;ADOLPHE FERRIERE;;BUTANTA;BUTANTA;RUA   FRANCISCO PRETO;457;VILA MORSE;5623010;;;;Ativa;12;BUTANTA;1204;35800624;800624;;4M  A  6A;;;;;21/10/2003;;;PAR;-23603215;-46726799;31/12/2010
BT;92754;EMEF;ALCIDES GONCALVES ETCHEGOYEN, GEN.;ALCIDES GONCALVES ETCHEGOYEN, GEN.;;BUTANTA;BUTANTA;RUA ADHERBAL STRESSER;686;JARDIM ARPOADOR;5566000;37821862;37821862;37829744;Ativa;65;RAPOSO TAVARES;6505;35053173;53173;161079110000000;;20/02/1971;9.332;16/02/1971;;10/04/1981;;ARPOADOR;DIR;-23594177;-46791273;31/12/2010
BT;304671;ESC.PART.;ALDEIA EXTERNATO;ALDEIA EXTERNATO;;BUTANTA;PINHEIROS;RUA   MORAS;229;VILA MADALENA;5434020;;;;Ativa;62;PINHEIROS;6201;35104784;104784;;;;;;;18/10/1995;;;PAR;-23559235;-46692712;31/12/2010
BT;304697;ESC.PART.;ALFA ESCOLA;ALFA ESCOLA;;BUTANTA;PINHEIROS;RUA  DOS MACUNIS;333;VILA MADALENA;5444000;;;;Ativa;62;PINHEIROS;6201;35104668;104668;;;;;;;18/10/1995;;;PAR;0;0;31/12/2010
BT;92746;EMEF;ALIPIO ANDRADA SERPA, TTE.;ALIPIO ANDRADA SERPA, TTE.;;BUTANTA;BUTANTA;RUA NICOLAU COPERNICO;165;JARDIM BATAGLIA;5546000;37824068;;37829746;Ativa;65;RAPOSO TAVARES;6503;35053284;53284;161079113000000;;15/01/1971;9.252;14/01/1971;;10/04/1981;;;DIR;-23587821;-46772588;31/12/2010
BT;191;EMEF;ALIPIO CORREA NETO, PROF.;ALIPIO CORREA NETO, PROF.;;BUTANTA;BUTANTA;AVENIDA JOAO CAIAFFA;140;JARDIM TABOAO;5742100;58450121;;58450121;Ativa;94;VILA SONIA;9404;35098462;98462;161079154000000;;27/05/1988;26.003;27/05/1988;;16/03/1991;;;DIR;-23611860;-46749579;31/12/2010
BT;400003;CEI DIRET;ALOYSIO DE MENEZES GREENHALGH, VER.;ALOYSIO DE MENEZES GREENHALGH, VER.;;BUTANTA;BUTANTA;RUA DOUTOR  FRANCISCO PATI;375;CIDADE SAO FRANCISCO;5352090;37685894;;;Ativa;67;RIO PEQUENO;6701;35238545;238545;161079135000000;ZERO A 3A E 11M;16/10/1987;24.765;16/10/1987;;22/05/2007;;VILA SAO FRANCISCO;DIR;-23556946;-46759402;31/12/2010
BT;305065;ESC.PART.;ALTO DE PINHEIROS E.E.I.;ALTO DE PINHEIROS E.E.I.;;BUTANTA;PINHEIROS;RUA   CARACAS;215;VILA NOVA CONCEICAO;5447130;;;;Ativa;62;PINHEIROS;6201;35170677;170677;;;;;;;18/10/1995;;;PAR;0;0;31/12/2010
BT;90069;EMEI;ALUISIO DE ALMEIDA;ALUISIO DE ALMEIDA;;BUTANTA;BUTANTA;RUA   JOSE XAVIER GUIMARAES;12;JARDIM LUCIA;5545080;37825295;;37829752;Ativa;65;RAPOSO TAVARES;6503;35084359;84359;161079109000000;;24/12/1980;17.101;24/12/1980;;;;JARDIM CLAUDIA;DIR;-23587511;-46765701;31/12/2010
BT;92827;EMEF;ALVARO SILVA BRAGA, GEN.;ALVARO SILVA BRAGA, GEN.;;BUTANTA;BUTANTA;PADRE PAULO CANELLES;611;VILA DALVA;5386070;37120676;37120676;37615812;Ativa;67;RIO PEQUENO;6702;35053181;53181;161079134000000;;12/02/1971;9.299;11/02/1971;;10/04/1981;;VILA DALVA;DIR;-23564056;-46764009;31/12/2010
BT;92690;EMEF;AMORIM LIMA, DES.;AMORIM LIMA, DES.;;BUTANTA;BUTANTA;RUA PROFESSOR VICENTE PEIXOTO;50;VILA GOMES;5587160;37261119;;37268049;Ativa;12;BUTANTA;1201;35053144;53144;161079101000000;;;;;;10/04/1981;;ESCOLAS AGRUPADAS DE VILA INDIANA;DIR;-23574132;-46728821;31/12/2010
BT;306132;ESC.PART.;ANCHIETA PE. E.E.I.;ANCHIETA PE. E.E.I.;;BUTANTA;BUTANTA;RUA   MIGUEL JURNO;81;JARDIM CELESTE;5527050;;;;Ativa;94;VILA SONIA;9402;35178469;178469;;;;;;;25/09/2001;;;PAR;-23597993;-46753768;31/12/2010
