DRE;CODESC;TIPOESC;NOMES;NOMESCOFI;CEU;DIRETORIA;SUBPREF;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CD_CIE;EH;FX_ETARIA;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_CONV;DT_AUTORIZA;DT_EXTINCAO;NOME_ANT;REDE;LATITUDE;LONGITUDE;DATABASE
BT;307207;ESC.PART. ;A HEBRAICA;A HEBRAICA;;BUTANTA;PINHEIROS;RUA HUNGRIA;1000;JARDIM EUROPA;1455000;;;;Ativa;62;PINHEIROS;6204;35814131;35814131;;18 M A 5 A;06/02/2010;3;01/02/2010;;06/02/2010;;;PAR;-46694078;-23578930;31/12/2015
BT;307412;ESC.PART. ;ABCD SOFIA;ABCD SOFIA;;BUTANTA;BUTANTA;RUA OTÁVIO PEDREIRO ROSA;212;JARDIM ESTER;5372000;;;;Ativa;67;RIO PEQUENO;6703;35446245;35446245;;;12/11/2010;62;10/11/2010;;12/11/2010;;;PAR;-46760545;-23583388;31/12/2015
BT;307131;ESC.PART. ;ACONCHEGO, ESCOLA;ACONCHEGO, ESCOLA;;BUTANTA;BUTANTA;RUA QUITANDUBA;50;CAXINGUI;5516030;;;;Ativa;12;BUTANTA;1203;35434700;35434700;;ZERO A 6 A ;26/08/2009;85;21/08/2009;;;;;PAR;-46715523;-23583061;31/12/2015
BT;306549;ESC.PART. ;ADOLPHE FERRIERE;ADOLPHE FERRIERE;;BUTANTA;BUTANTA;RUA FRANCISCO PRETO;457;VILA MORSE;5623010;;;;Ativa;12;BUTANTA;1204;35800624;35800624;;4M  A  6A;;;;;21/10/2003;;;PAR;-46726799;-23603215;31/12/2015
BT;92754;EMEF      ;ALCIDES GONCALVES ETCHEGOYEN, GEN.;ALCIDES GONCALVES ETCHEGOYEN, GEN.;;BUTANTA;BUTANTA;RUA ADHERBAL STRESSER;686;JARDIM ARPOADOR;5566000;37821862;37829744;;Ativa;65;RAPOSO TAVARES;6505;35053173;35053173;161079110000000;;20/02/1971;9.332;16/02/1971;;10/04/1981;;ARPOADOR;DIR;-46791369;-23594749;31/12/2015
BT;304671;ESC.PART. ;ALDEIA EXTERNATO;ALDEIA EXTERNATO;;BUTANTA;PINHEIROS;RUA MORAS;229;VILA MADALENA;5434020;;;;Ativa;62;PINHEIROS;6201;35104784;35104784;;;;;;;18/10/1995;;;PAR;-46692712;-23559235;31/12/2015
BT;308451;CR.P.CONV ;ALECRIM;ALECRIM;;BUTANTA;BUTANTA;RUA FRANCISCO LEITE ESQUERDO;S/N   ;JARDIM CELESTE;5528040;;;;Ativa;94;VILA SONIA;9401;35579543;35579543;;;25/07/2015;2,01502E+11;25/07/2015;;;;;CON;-46754709;-23595440;31/12/2015
BT;308408;CR.P.CONV ;ALEGRIA DE APRENDER;ALEGRIA DE APRENDER;;BUTANTA;BUTANTA;RUA BALTASAR SAMPER;205;PARQUE IPÊ;5571040;25895528;;;Ativa;65;RAPOSO TAVARES;6505;35578836;35578836;;;25/07/2015;2,01502E+11;25/07/2015;;;;;CON;-46798076;-23591615;31/12/2015
BT;304697;ESC.PART. ;ALFA ESCOLA;ALFA ESCOLA;;BUTANTA;PINHEIROS;RUA DOS MACUNIS;333;VILA MADALENA;5444000;;;;Ativa;62;PINHEIROS;6201;35104668;35104668;;;;;;;18/10/1995;;;PAR;;;31/12/2015
BT;307920;ESC.PART. ;ALGO TAO DOCE;ALGO TAO DOCE;;BUTANTA;BUTANTA;RUA ARTHUR SOTER LOPES DA SILVA;603;JARDIM ESMERALDA;5367140;;;;Ativa;67;RIO PEQUENO;6704;35483722;35483722;;6M A 5A;12/12/2012;133;12/12/2012;;12/12/2012;;;PAR;-46753087;-23573247;31/12/2015
BT;92746;EMEF      ;ALIPIO ANDRADA SERPA, TTE.;ALIPIO ANDRADA SERPA, TTE.;;BUTANTA;BUTANTA;RUA NICOLAU COPERNICO;165;JARDIM BATAGLIA;5546000;37824068;;37829746;Ativa;65;RAPOSO TAVARES;6503;35053284;35053284;161079113000000;;15/01/1971;9.252;14/01/1971;;10/04/1981;;;DIR;-46772909;-23588340;31/12/2015
BT;191;EMEF      ;ALIPIO CORREA NETO, PROF.;ALIPIO CORREA NETO, PROF.;;BUTANTA;BUTANTA;AVENIDA JOAO CAIAFFA;140;JARDIM TABOAO;5742100;58450121;;58450121;Ativa;94;VILA SONIA;9404;35098462;35098462;161079154000000;;27/05/1988;26.003;27/05/1988;;16/03/1991;;;DIR;-46749888;-23612237;31/12/2015
BT;400003;CEI DIRET ;ALOYSIO DE MENEZES GREENHALGH, VER.;ALOYSIO DE MENEZES GREENHALGH, VER.;;BUTANTA;BUTANTA;RUA DOUTOR FRANCISCO PATI;375;CIDADE SAO FRANCISCO;5352090;37685894;;;Ativa;67;RIO PEQUENO;6701;35238545;35238545;161079135000000;0 A 3 ANOS;16/10/1987;24.765;16/10/1987;;22/05/2007;;VILA SAO FRANCISCO;DIR;-46759414;-23557659;31/12/2015
BT;305065;ESC.PART. ;ALTO DE PINHEIROS E.E.I.;ALTO DE PINHEIROS E.E.I.;;BUTANTA;PINHEIROS;RUA CARACAS;215;VILA NOVA CONCEICAO;5447130;;;;Ativa;62;PINHEIROS;6201;35170677;35170677;;;;;;;18/10/1995;;;PAR;;;31/12/2015
BT;90069;EMEI      ;ALUISIO DE ALMEIDA;ALUISIO DE ALMEIDA;;BUTANTA;BUTANTA;RUA JOSE XAVIER GUIMARAES;12;JARDIM LUCIA;5545080;37825295;;37829752;Ativa;65;RAPOSO TAVARES;6503;35084359;35084359;161079109000000;;24/12/1980;17.101;24/12/1980;;;;JARDIM CLAUDIA;DIR;-46767826;-23587453;31/12/2015
BT;200158;CIEJA     ;ALUNA JESSICA NUNES HERCULANO;ALUNA JESSICA NUNES HERCULANO;;BUTANTA;BUTANTA;RUA ANTONIO MARIANI;425;INSTITUTO DE PREVIDENCIA;5530000;37220656;37225331;37220656;Ativa;12;BUTANTA;1202;35260228;35260228;161079102000000;;01/06/1999;38.016;01/06/1999;;;;CEMES - CENTRO MUN.DE ENS.SUPLETIVO -DREM 12;DIR;-46716556;-23575351;31/12/2015
BT;92827;EMEF      ;ALVARO SILVA BRAGA, GEN.;ALVARO SILVA BRAGA, GEN.;;BUTANTA;BUTANTA;RUA PADRE PAULO CANELLES;611;VILA DALVA;5386070;37120676;37120676;37615812;Ativa;67;RIO PEQUENO;6702;35053181;35053181;161079134000000;;12/02/1971;9.299;11/02/1971;;10/04/1981;;VILA DALVA;DIR;-46764287;-23564172;31/12/2015
BT;308281;ESC.PART. ;ALVORADA, N.E.I.;ALVORADA, N.E.I.;;BUTANTA;BUTANTA;RUA RUBENS REIS REZENDE;79;JARDIM ARPOADOR;5565180;;;;Ativa;65;RAPOSO TAVARES;6505;35576918;35576918;;;26/05/2015;515;04/05/2015;;;;;PAR;-46789193;-23595619;31/12/2015
BT;92690;EMEF      ;AMORIM LIMA, DES.;AMORIM LIMA, DES.;;BUTANTA;BUTANTA;RUA PROFESSOR VICENTE PEIXOTO;50;VILA GOMES;5587160;37261119;37268049;37261119;Ativa;12;BUTANTA;1201;35053144;35053144;161079101000000;;;;;;10/04/1981;;ESCOLAS AGRUPADAS DE VILA INDIANA;DIR;-46729251;-23574501;31/12/2015
BT;306132;ESC.PART. ;ANCHIETA PE. E.E.I.;ANCHIETA PE. E.E.I.;;BUTANTA;BUTANTA;RUA MIGUEL JURNO;81;JARDIM CELESTE;5527050;;;;Ativa;94;VILA SONIA;9402;35178469;35178469;;2A A 5A;;;;;25/09/2001;;;PAR;-46753768;-23597993;31/12/2015
BT;90034;EMEI      ;ANTONIO BENTO;ANTONIO BENTO;;BUTANTA;BUTANTA;RUA JOAO BATISTA DE SOUSA FILHO;405;CAXINGUI;5515040;37217397;;37217397;Ativa;12;BUTANTA;1203;35051603;35051603;161079100000000;;;;;;18/09/1985;;CAXINGUI;DIR;-46715700;-23579371;31/12/2015
BT;90450;EMEI      ;ANTONIO BRANCO LEFEVRE, PROF.;ANTONIO BRANCO LEFEVRE, PROF.;;BUTANTA;PINHEIROS;RUA DOUTOR OVÍDIO PIRES DE CAMPOS;342;CERQUEIRA CÉSAR;5403010;30632986;30633543;;Ativa;45;JARDIM PAULISTA;4501;35051706;35051706;161079168000000;;;;;;30/07/1985;;HOSPITAL DAS CLINICAS - PI 23;DIR;-46670438;-23557055;31/12/2015
BT;213;EMEI      ;ANTONIO CARLOS PACHECO E SILVA, PROF.;ANTONIO CARLOS PACHECO E SILVA, PROF.;;BUTANTA;BUTANTA;AVENIDA JOÃO CAIAFFA;90;JARDIM TABOÃO;5742100;58448902;;58425113;Ativa;94;VILA SONIA;9404;35098504;35098504;161079153000000;;07/06/1988;26.117;07/06/1988;;13/03/2001;;;DIR;-46750176;-23611929;31/12/2015
