,Missing Data,Percentage
NOMESCOF,63857,100.0
DT_EXTINCAO,63824,99.94832203204034
CEU,61740,96.68478005543636
DT_INI_FUNC,55337,86.65768827223327
CODCIE,54538,85.40645504799788
FAX,53584,83.91249197425498
TEL2,49021,76.76683840456019
DT_INI_CONV,45847,71.79635748625836
EH,41765,65.40394944955135
FX_ETARIA,40963,64.1480182282287
NOME_ANT,35264,55.22338976149834
DT_AUTORIZA,22055,34.53810858637268
DOM_CRIACAO,19100,29.910581455439498
REDE,16187,25.348826283727703
ATO_CRIACAO,15301,23.96135114396229
DT_CRIACAO,15290,23.944125154642403
TEL1,11782,18.450600560627652
CODDIST,6652,10.417025541444163
CODINEP,6447,10.09599574048264
SETOR,1875,2.9362481795261286
LATITUDE,1704,2.668462345553346
LONGITUDE,1704,2.668462345553346
DRE,1250,1.9574987863507525
DIRETORIA,1250,1.9574987863507525
DISTRITO,1208,1.8917268271293672
DATABASE,1207,1.8901608281002866
SUBPREF,1207,1.8901608281002866
SITUACAO,0,0.0
CEP,0,0.0
BAIRRO,0,0.0
NUMERO,0,0.0
ENDERECO,0,0.0
NOMESC,0,0.0
TIPOESC,0,0.0
CODESC,0,0.0
ID_ESCOLA,0,0.0
