BAIRRO,TIPOESC,num_alunos
JARDIM RODOLFO PIRANI,EMEF,106987
ITAIM PAULISTA,EMEF,106787
CIDADE TIRADENTES,EMEF,102550
JARDIM PLANALTO,EMEF,97809
PARQUE MARIA HELENA,CIEJA,93880
VILA SOUZA,EMEF,84490
JARDIM CATANDUVA,EMEF,82590
PARQUE BOA ESPERANCA,EMEF,79600
PARQUE REGINA,EMEF,79010
JARDIM RINCAO,EMEF,78830
SANTANA,EMEFM,76550
ITAQUERA,EMEF,76060
PARQUE SANTO ANTÔNIO,EMEF,75988
CASA VERDE ALTA,EMEF,75640
CONJUNTO HABITACIONAL BARRO BRANCO II,EMEF,70600
JARDIM HELENA,EMEF,67890
JARDIM BRASILIA,EMEF,67862
JARDIM MIRIAM,EMEF,67580
JARDIM PERI,EMEF,65850
CIDADE PATRIARCA,EMEF,64750
CIDADE TIRADENTES,E TEC,64512
VILA LOURDES,CIEJA,64440
JARDIM SANTA FE,EMEF,62970
PARAISÓPOLIS,EMEF,57686
CONJ HAB MARECHAL MASCARENHAS DE MORAI,CIEJA,56220
PARQUE DOM JOÃO NERI,EMEF,56170
PARQUE NOVO MUNDO,EMEF,55940
VILA NOVA CURUCA,EMEF,54070
VILA INÁCIO,CIEJA,54068
JARDIM DOM JOSÉ,EMEF,53990
JARDIM DAS OLIVEIRAS,EMEF,53810
VILA ITAIM,EMEF,53680
PERUS,EMEF,53510
PARQUE DO ENGENHO,EMEF,53250
INSTITUTO DE PREVIDENCIA,CIEJA,52450
CONJUNTO HABITACIONAL TEOTONIO VILELA,EMEF,51910
JARDIM OFELIA,EMEF,51850
GUAIANAZES,EMEF,51590
JARDIM PARQUE MORUMBI,EMEF,51222
VILA PENTEADO,EMEF,51080
JARDIM MARACANÃ,CIEJA,51050
JARDIM CAMPOS,EMEF,50880
GUAIANASES,EMEF,50420
CIDADE LIDER,CIEJA,50380
ERMELINO MATARAZZO,CIEJA,50030
VILA SONIA,EMEF,49980
JARDIM FONTALIS,EMEF,49680
JARDIM NORDESTE,EMEF,48670
GUAPIRA,EMEF,48200
JARDIM PERI,CR.P.CONV,48110
SÃO MATEUS,CIEJA,48010
CAMBUCI,CIEJA,47880
VILA DO SOL,CEU EMEF,47590
JARDIM NOVO PARELHEIROS,CEU EMEF,47540
CONJUNTO HABITACIONAL RECANTO DOS HUMILD,EMEF,47130
JARDIM FLORESTA,EMEF,47090
IPIRANGA,EMEF,46800
JARDIM MARILU,EMEF,46588
JARDIM CAMPINAS,EMEF,46490
LAUZANE PAULISTA,EMEF,46180
JORDANÓPOLIS,EMEF,45720
JARDIM NAKAMURA,EMEF,45400
CONJUNTO PROMORAR ESTRADA DA PARADA,EMEF,45370
PARQUE ARARIBA,EMEF,45200
JARDIM CAMARGO NOVO,EMEF,45170
CIDADE TIRADENTES,CEU EMEF,45160
CONJUNTO HABITACIONAL SANTA ETELVINA III,EMEF,44515
JARDIM SANTA LUCRECIA,EMEF,44450
SÍTIO MORRO GRANDE,EMEF,44410
JARDIM CIDADE PIRITUBA,EMEF,44350
VILA PALMEIRAS,EMEF,44330
VILA MARIA ALTA,EMEF,44101
PARQUE GRAJAU,EMEF,43840
JARDIM NOVO SANTO AMARO,EMEF,43588
VILA MESQUITA,EMEF,43550
JARDIM ARPOADOR,EMEF,43300
CIDADE DUTRA,EMEF,42970
LAJEADO,CR.P.CONV,42768
SANTA ETELVINA II B,EMEF,42740
JABAQUARA,EMEF,42560
JARAGUA,EMEF,42360
CIDADE TIRADENTES,EMEFM,42320
AMERICANÓPOLIS,CR.P.CONV,41919
VILA SABRINA,CIEJA,41810
JARDIM LIBANO,EMEF,41730
JARDIM SARAH,EMEF,41650
JARDIM PEDRA BRANCA,EMEF,41380
CIDADE NOVA SAO MIGUEL,EMEF,41240
VILA MARINA,EMEF,41115
JARDIM AMALIA,EMEF,40640
JARDIM SYDNEY,EMEF,40380
PARQUE CISPER,EMEF,40350
CIDADE TIRADENTES,EMEI,40130
JARDIM SIPRAMAR,EMEF,40122
JARDIM MARTINICA,EMEF,40080
VILA GILDA,EMEF,40060
PARQUE SAO DOMINGOS,EMEF,39970
CAPAO REDONDO,EMEF,39480
JARDIM ELEDY,CEU EMEF,39390
JARDIM CAMARGO,CMCT,39160
VILA PEREIRA BARRETO,EMEF,39060
PARQUE MARIA FERNANDES,CIEJA,39051
CIDADE KEMEL,EMEF,38920
JARDIM BRASIL,EMEF,38700
JARDIM SANTA LUCRECIA,CEU EMEF,38670
CHÁCARA SANTA MARIA,CEU EMEF,38660
JARDIM SILVA TELES,EMEF,38631
VILA LAGEADO,EMEF,38580
JARDIM BOM REFUGIO,EMEF,38290
PARQUE DE TAIPAS,EMEF,38140
RAPOSO TAVARES,EMEF,37870
CONJUNTO PROMORAR RIO CLARO,CEU EMEF,37830
CONJUNTO HABITACIONAL JARDIM SÃO BENTO,EMEF,37820
VILA BRASILINA,EMEF,37680
JARDIM SAO JOSE,EMEF,37610
VILA MARA,EMEF,37240
ITAIM PAULISTA,CEU EMEF,37220
CIDADE TIRADENTES,CR.P.CONV,36849
JARDIM CLIMAX,EMEF,36550
SÃO MIGUEL PAULISTA,CMCT,36440
JARDIM JOÃO XXIII,EMEF,36200
PARQUE CÍSPER,CEU EMEF,36100
LIBERDADE,EMEF,35960
SANTO AMARO,EMEFM,35870
ITAQUERA,CR.P.CONV,35365
JARDIM DAS FLORES,EMEF,35350
PARQUE PANAMERICANO,EMEF,35270
VILA BELA,EMEF,35260
PIRAJUSSARA,CEU EMEF,35250
COHAB JARDIM PAULISTANO,EMEF,35080
JARDIM CELESTE,EMEF,35050
JARDIM EDI,EMEF,34970
PARQUE LIGIA,EMEF,34920
CHACARA SANTA MARIA,EMEF,34890
PARQUE DOS BANCARIOS,EMEF,34500
JARDIM SANTA MARGARIDA,EMEF,34490
COHAB INSTITUTO ADVENTISTA,EMEF,34460
JARDIM CASABLANCA,EMEF,34330
JARDIM TRES CORACOES,EMEF,34240
JARDIM MARIA SAMPAIO,EMEF,33750
JARDIM MAIA,EMEF,33710
JARDIM MODELO,CEU EMEF,33560
VILA ELZE,EMEF,33480
PARQUE DOROTEIA,EMEF,33450
VILA GUILHERME,EMEF,33370
CIDADE SATELITE SANTA BARBARA,EMEF,33310
JARAGUÁ,CEU EMEF,33110
PARQUE VILA MARIA,EMEF,33090
PARQUE GUARANI,EMEF,33040
CHÁCARA DONA OLÍVIA,CEU EMEF,33010
CONJUNTO HABITACIONAL SANTA ETELVINA II,EMEF,32912
VILA INDEPENDÊNCIA,EMEF,32740
BELA VISTA,EMEF,32720
ITAIM PAULISTA,EMEF      ,32667
JARDIM CAMARGO,EMEF,32510
JARDIM SÃO VICENTE,EMEF,32450
VILA TERESINHA,EMEF,32430
PARQUE MANDAQUI,CIEJA,32360
VILA DIONÍSIA,EMEF,32270
JARDIM DOS FRANCOS,EMEF,32090
PARQUE SAO RAFAEL,EMEF,32040
CIDADE ANTÔNIO ESTEVÃO DE CARVALHO,CEU EMEF,31960
MOOCA,EMEF,31940
JARDIM RODOLFO PIRANI,EMEF      ,31936
PARQUE DAS FLORES,EMEF,31930
VILA BARBOSA,EMEF,31800
JARDIM NOVE DE JULHO,EMEF,31706
VILA ISABEL,EMEF,31640
CANGAÍBA,EMEF,31520
JARDIM LAURA,EMEF,31500
JARDIM MONTE BELO,EMEF,31500
CONJUNTO PROMORAR RAPOSO TAVARES,EMEF,31300
JARDIM DA PEDREIRA,EMEF,31260
VILA MATILDE,EMEF,31150
JARDIM HELENA,CEU EMEF,31104
PARQUE SANTO ANTONIO,EMEF,31060
VILA AMERICANA,EMEF,31060
VILA ALEXANDRIA,EMEF,30850
CIDADE TIRADENTES,EMEF      ,30765
JARDIM ANHANGÜERA,EMEF,30740
JARDIM MANGALOT,EMEF,30740
JARDIM GUAIANAZES,EMEF,30620
CONJUNTO HABITACIONAL INACIO MONTEIRO,EMEF,30560
JARDIM DAS OLIVEIRAS,CR.P.CONV,30473
JARDIM CORISCO,EMEF,30340
PARQUE CRUZEIRO DO SUL,EMEF,30030
JARDIM SÃO PEDRO,EMEF,30020
JARDIM PARANÁ,CEU EMEF,29890
PARQUE DOS PRÍNCIPES,EMEF,29890
VILA AIMORÉ,EMEF,29760
CAXINGUI,EMEF,29750
VILA PERUS,CR.P.CONV,29675
VILA ANDRADE,EMEF,29510
COHAB INACIO MONTEIRO,CEU EMEF,29330
JARDIM SANTA TERESINHA,CEU EMEF,29330
JARDIM PLANALTO,EMEF      ,29086
CIDADE LÍDER,EMEF,29050
CIDADE ADEMAR,EMEF,29020
JARDIM DA CONQUISTA,EMEF,28990
CANTINHO DO CÉU,CEU EMEF,28920
PARQUE PAULISTANO,CR.P.CONV,28908
PARQUE NOVO SANTO AMARO,EMEF,28750
JARDIM DA CONQUISTA (ZONA OESTE),EMEF,28745
JARDIM DA CONQUISTA ZONA OESTE,EMEF,28745
JARDIM NICE,EMEF,28470
PARQUE MARIA HELENA,CIEJA     ,28164
JARDIM GUARANI,EMEF,28090
JARDIM PAULO VI,CEU EMEF,27800
JARDIM DUPRAT,EMEF,27780
COHAB SANTA ETELVINA II A,EMEF,27620
JARDIM FLOR DE MAIO,EMEF,27520
COHAB INACIO MONTEIRO,EMEF,27510
JARDIM PIRACUAMA,EMEF,27510
VILA DAS BELEZAS,CEU EMEF,27440
PARQUE PRIMAVERA,EMEF,27410
COHAB SANTA ETELVINA II B,EMEF,27370
JARDIM TIETE,EMEF,27334
COHAB JUSCELINO,EMEF,27200
JARDIM YARA,EMEF,27160
GUAIANAZES,CR.P.CONV,27150
TATUAPÉ,EMEF,26980
CHÁCARA INGLESA,EMEF,26910
VILA MISSIONARIA,EMEF,26910
CANINDE,EMEF,26780
VILA IOLANDA,EMEF,26739
VILA RUBI,CEU EMEF,26680
IPIRANGA,CR.P.CONV,26436
JARDIM UMARIZAL,EMEF,26390
PARQUE MONTEIRO SOARES,EMEF,26390
PARQUE SANTO EDUARDO,EMEF,26220
PARQUE BOLOGNE,CEU EMEF,26200
JARDIM UBIRAJARA,EMEF,26170
JARDIM POPULAR,EMEF,26130
VILA MARARI,EMEF,26050
JARDIM VISTA ALEGRE,EMEF,26030
VILA RICA,EMEF,26010
JARDIM IBIRAPUERA,EMEF,25970
PARQUE DOS BANCÁRIOS,EMEF,25960
PARQUE PERUCHE,EMEF,25930
CHÁCARA DA ENSEADA,EMEF,25911
CIDADE KEMEL,CR.P.CONV,25824
JARDIM COIMBRA,EMEF,25710
JARDIM ESTER,EMEF,25710
PARQUE MARIA DOMITILA,EMEF,25620
JARDIM FERNANDES,EMEF,25610
SANTO AMARO,EMEF,25570
VILA PROGRESSO ZONA LESTE,EMEF,25565
REAL PARQUE,EMEF,25540
VILA DO ENCONTRO,EMEF,25530
CHÁCARA DONA OLÍVIA,CEU AT COM,25410
VILA SOUZA,EMEF      ,25347
VILA PIERINA,EMEF,25270
CONJ RESIDENCIAL JOSE BONIFACIO,EMEI,25129
JARDIM VIRGINIA BIANCA,EMEF,25100
VILA BANCARIA MUNHOZ,EMEF,24960
VILA FORMOSA,EMEF,24940
PARQUE PAULISTANO,EMEF,24910
VILA NASCENTE,EMEF,24790
JARDIM CATANDUVA,EMEF      ,24777
SÃO MIGUEL PAULISTA,EMEFM,24760
PARQUE EDU CHAVES,EMEF,24660
PARQUE CASA DE PEDRA,EMEF,24610
VILA CAMPESTRE,EMEF,24600
JARDIM PARQUE MORUMBI,CEU EMEF,24530
JARDIM GUARUJÁ,EMEF,24339
JARDIM CIDADE PIRITUBA,EMEFM,24330
VILA PAULICEIA,EMEF,24270
VILA SANTA MARIA,EMEF,24270
VILA HELENA,EMEF,24260
JARDIM MARIANE,EMEF,24250
VILA ANGELICA,EMEF,24230
JARDIM HELENA,CR.P.CONV,24213
BALNEÁRIO SÃO FRANCISCO,CEU AT COM,24171
JARDIM WILMA FLOR,EMEF,24160
VILA EMA,EMEF,24150
